	S1_a_WGS	S101_a_WGS	S102_a_WGS	S103_a_WGS	S117_a_WGS	S119_a_WGS	S128_a_WGS	S13_a_WGS	S130_a_WGS	S132_a_WGS	S134_a_WGS	S138_a_WGS	S139_a_WGS	S14_a_WGS	S140_a_WGS	S142_a_WGS	S144_a_WGS	S146_a_WGS	S148_a_WGS	S149_a_WGS	S15_a_WGS	S150_a_WGS	S151_a_WGS	S152_a_WGS	S153_a_WGS	S154_a_WGS	S155_a_WGS	S156_a_WGS	S157_a_WGS	S158_a_WGS	S159_a_WGS	S16_a_WGS	S160_a_WGS	S161_a_WGS	S162_a_WGS	S163_a_WGS	S164_a_WGS	S165_a_WGS	S166_a_WGS	S167_a_WGS	S17_a_WGS	S18_a_WGS	S2_a_WGS	S26_a_WGS	S27_a_WGS	S28_a_WGS	S29_a_WGS	S3_a_WGS	S30_a_WGS	S31_a_WGS	S32_a_WGS	S33_a_WGS	S34_a_WGS	S35_a_WGS	S36_a_WGS	S4_a_WGS	S43_a_WGS	S45_a_WGS	S46_a_WGS	S47_a_WGS	S48_a_WGS	S49_a_WGS	S5_a_WGS	S50_a_WGS	S51_a_WGS	S52_a_WGS	S53_a_WGS	S54_a_WGS	S55_a_WGS	S56_a_WGS	S57_a_WGS	S58_a_WGS	S59_a_WGS	S6_a_WGS	S60_a_WGS	S62_a_WGS	S63_a_WGS	S64_a_WGS	S65_a_WGS	S66_a_WGS	S67_a_WGS	S68_a_WGS	S69_a_WGS	S70_a_WGS	S71_a_WGS	S72_a_WGS	S73_a_WGS	S79_a_WGS	S80_a_WGS	S81_a_WGS	S82_a_WGS	S83_a_WGS	S84_a_WGS	S87_a_WGS
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279	0	0	0	0	0	0.02801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	0	0	0	0	0	0.02479	0	0	0.02348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01944	0	0	0	0	0	0	0	0	0	0.0409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02223	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	0	0	0	0	0	0.01941	0	0	0.1148	0.81962	0.23059	0	0.0301	0	0.31859	0.06194	0.18043	0	0	0	0	0	0	0	0.01949	0.07114	0	0	0	0.62294	0.18125	0	0	0	0	1.20122	0.57727	0	0.01013	0.14179	0	0	0	0.68752	0	0	0	0	0	0	0	0	0	0	0	0	0.44065	0	0	0	0	0	0	0.69921	0	0	0	0	0	0	0	0	0	0.43045	0	0	0	0	0	0	0.09088	0	0	0	0	0	0	0.30136	0	0	0	0	0.1655	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0	0	0	0	0	0.0188	0	0	0	0	0	0	0	0	0	0	0.05437	0.51517	0	0	0	0.00363	0	0	0	0.07956	0.28529	0.08951	0	0	0	0	0	0	0	0	0	0.0205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06233	0	0	0	0	0	0	0	0.10468	0	0	0	1.49377	0	0	0.02171	0.08235	0	0.06509	0	0	0	0	0	0	0	0	0	0	0	0.37178	0	0.00604	0	0	3.15377	0	0.01216
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium	0	0	0	0	0	0.01598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33393	0	0	0.30301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1552	0	0	0	0	0	0	0	0.02757	0.00417	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0	0	0	0	0	0.00671	0	0	0	0	0	0	0	0	0.81962	0	0	0	0	0	0	0	0	0	0	0.27353	0.15866	0.29441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13596	0.00432	0.22585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1336	0	0	0.2146	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops	0	0	0	0	0	0	0.20521	0	0	0	0	0	0	0	0.59526	0	0	0	0	0	0	0	0	0	0.02261	0	0	0	0	0.03507	0.32826	0	0	0	0	0	0	0	0	0.08065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02933	3.22243	0.03317	0.19354	0.12777	0.83891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0	0	0	0	0	0	0.18132	0.00907	0	0.1735	0.02584	0	0.0269	0.00128	0	0	0	0	0.23059	0	0	0.01356	0	0	0	0	0.61761	0.07527	0	1.04909	0	0	0	0	0	0	0	0.0083	0	0.00734	0.00995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01066	0.09356	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_274	0	0	0	0	0	0	0.1165	0	0	0	0	0	0	0	0	0	0.82026	0	0	0	0	0	0	0	0	0	1.92928	0	0	0	0	0	0	0	1.69166	0.48627	0.54609	3.15907	0	0.43595	0	0.54788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65995	0	0	0	0	0	0	0.94361	0	0	0	0	0.10272	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	0	0	0	0	0	0	0.11517	0	0	0	0	0	0	0.07247	0	0	0	0.02661	0	0	0	0	0	0	0	0	0.18118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03576	0	0.08979	0.03854	1.16508	0.00075	0	0.03104	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.02102	0	0.0021	0	0	0.01978	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus|s__Monoglobus_pectinilyticus	0	0	0	0	0	0	0.0933	0	0	0	0.74733	0	0	0	0	0	0	0.1251	0	0	0	0	0	0	0.21218	2.63103	0	0	0.19571	0	1.083	0	0	0	0	0.16742	0	0	0	0	0	0	0	0.46855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67841	0.08955	1.3404	0	0	0	0	0	0.59808	0	0	0	0	0.10963	1.00321	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	0	0	0	0	0	0	0.06118	0	0	0	0	0	0	0.00245	0	0	0	0.11195	0	0	0	0	0	0	0	0.23642	0	0.04244	0	0	0	0	0	0	0	0	0	0.00204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00251	0.00223	0	1.33048	0	0	0	0	0	0.00904	0	0	0	0.10869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12542	0	0	0.2057	0	0.01602
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0	0	0	0	0	0	0.05128	0	0.09862	0	0	0.05995	0	0	0.16616	0	0.17115	0.01202	0	0	0	0	0	0	0.04879	0.06596	0.76144	0.41323	0.01253	0.08746	0.69213	0	0	1.16131	0	0.011	0	0.14475	0.07294	0.0678	0	0.00379	0.01911	0.04921	0	0	0	0	0	0	0	0	0	0	0	0.51	0.0236	0	0	0	0	0	0.01019	0.78543	0	0	0	0	0	0	0	0	0	0.01356	0	0	0	0	0	0	0.04881	0	0	0	0	0	0.01109	0.18736	0.01873	0	0	2.19139	0	0.20311
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0	0	0	0	0	0	0.02341	0	0	0	0	0	0	0	1.09451	0	0	0	0	0	0	0	0	0	0	0.39415	1.63069	0.06343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03602	0	0	0	0	0.02472	0	0	0	0	0	0	0.03452	0.27994	0.11786	0	0	0	0	0	0	0	0.09047	0	0.07373	0.01578	0.95235	0.01674	0.03921	0.05713	0.02807	0	0.03335	0	0	0	0	0	0	0	0	0	0	0	0.17786	0	0.90853	0	0	0.46439	0.13085	0.10401
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	0	0	0	0	0	0	0.02093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00948	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0	0	0	0	0	0	0.0207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71783	0	0	0.33254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06677	0.02976	3.50678	0.03097	0.00851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10469	0	0	0	0	0	0.55457	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0.02005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00642	0.01503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00867	0	0	0.13523	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	4.72066	0.1237	0.82436	4.13386	0.72123	1.64075	0	0	0.3898	6.65086	0.96045	0	0	0	0	0	0	0	0	0	0	0	2.58658	0.41944	0	0.6617	0	0	0	0.13881	0	0	0	0	2.72524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03165	0.42272	0	3.34245	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus|s__Peptococcus_niger	0	0	0	0	0	0	0	0.34874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20588	0	0	0	0	0	0	0	0	0	0.3161	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra	0	0	0	0	0	0	0	0.14013	0	0	0	0	0	0	0	0.0265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01762	0	0.14125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06385	0	0	0	0	0	0	0	0.02475	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_vaginalis	0	0	0	0	0	0	0	0.10721	0	0	0	0	0	0.01206	0	0	0	0	0	0.11266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04707	0.12406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10386	0	0	0	0	0.00318	27.4946	6.58963	0.94101	0.59391	0.74925	0.0055	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense	0	0	0	0	0	0	0	0.05568	0	0	0	0	0	0.0732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00176	0	0	0	0.00196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10968	0.04932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	0	0	0	0	0	0	0	0.04657	0	0	0	0.02198	0.0248	0.00432	0	0	0	0	0	0.09842	0	0.03746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335	0	0.00158	0.00112	0.00584	0	0	0	0	0.0683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01811	0	0	0	0.01957	0	0	0	0.05383	0	0	0	0	0	0.04093	0	0.05928	0.17394	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	0	0	0	0	0	0	0	0.03602	0	0	0	0	0	0.04302	0	0	0	0	0	0	0.00412	0	0	0	0	0	0	0	0.1599	0	0	0.00651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06363	0.04841	0.0334	0.15201	0	0.27446	0	0	0	0	0	0	0	0	0	0	0	0	0.01257	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	0	0	0	0	0	0	0	0.02909	0	0	0	0	0	0	0	0	0	0	0	0.15301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02959	0	0	0	0	0	0	0	0	0	0	0.01652	0	0	0	0	0	0	0.27368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_sp_MV1	0	0	0	0	0	0	0	0.02067	0	0	0	0	0	0.00442	0	0	0	0	11.26255	0	0	0.01577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_anaerobius	0	0	0	0	0	0	0	0.01444	0	0	0	0	0	0.03599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9543	0.92148	0	0	1.94758	0	0	0	0	0.09018	0.40781	0	0.1009	0	0	0	0	0	0	0	0	0	0	0	0	1.95268	0.12371	0.001	0.41224	0	2.38847	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Lactonifactor|s__Lactonifactor_longoviformis	0	0	0	0	0	0	0	0.01148	0	0	0	0	0.01615	0.04727	0	0	0	0	0	0	0.02272	0	0	0	0	0	0	0	0.07218	0	0	0.02637	0	0	0	0	0	0	0	0	0.00458	0	0.00423	0	0	0	0	0	0	0	0	0	0	0	0	0.01559	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00429	0.01208	0.00557	0	0	0.01154	0	0	0	0	0	0	0	0	0	0.06486	0.00599	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	0	0	0	0	0	0	0	0.00888	0	0	0	0	0	0.02329	0	0.02077	0.0062	0	0.15578	0.06669	0	0.00572	0.00969	0	0	0.0074	0	0	0	0	0.00078	0.03715	0	0	0	0	0.0221	0	0.06459	0	0	0	0.01404	0	0	0	0	0.10017	0	0	0	0	0.00935	0.00133	0.01396	0	0	0	0	0	0	0	0	0	0	0.05476	0	0.08973	0	0	0	0.02142	0.01086	0.02632	0.01197	0.00617	0	0	0	0.0017	0	0	0.17558	0	0.0124	0	0.01691	0.01772	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum	0	0	0	0	0	0	0	0.00672	0	0	0	0.00153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00373	0	0	0	0	0	0.01836	0	0	0.02901	0	0	0	0.03301	0	0	0	0	0	0	0	0.01132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02016	0	0	0	0	0	0	0.00189	0	0	0	0	0.00192	0	0	0	0	0.0014	0.01806	0	0	0.08699	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis	0	0	0	0	0	0	0	0.00452	0	0	0	0	0	0.00516	0	0	0	0	0	0	0	0	0	0	0.00746	0	0	0	0	0	0.00234	0	0	0	0.14931	0.27746	0.02508	0	0	0.00424	0	0	0	0	0	0	0	0	0	0	0	0.00445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00172	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_sulci	0	0	0	0	0	0	0	0.00326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta	0	0	0	0	0	0	0	0.00209	0	0	0	0	0.00201	0.08023	0	0	0	0	0	0.02168	0.11833	0.30414	0.09014	0.01278	0	0	0.0113	0	0.05138	0	0	0.32811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41773	0.69968	0.28383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.31926	8.53651	3.15728	0.69095	0	0.61778	0	0	0	0	0.35626	0	0	0	0	0.95054	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	0	0	0	0	0	0	0	0.00064	0	0	0	0	0	0.00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01378	0	0	0.01485	0	0.00513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01149	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180	0	0	0	0	0	0	0	0	22.13288	0	0	0	0	0	0	7.89452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31978	0	0.76025	0	0	0	0	0	0	6.34202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43839	0	0	0	0	0	0	0	28.7837	16.43045	30.90397	15.11676	16.16723	0	0	0	0	0	0	0	0	0	0	0	0.33938	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251	0	0	0	0	0	0	0	0	6.68134	0	0	1.62184	0	0	0	5.76016	0	0	0	0	0	0	0	0	0	0	0	4.71752	0	0	0	0	0	0	0	0	3.19538	0	4.09196	0	0	0	0	2.51613	0	0	0	0	0	0	4.59107	0	0	0	0	0	1.02823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.80815	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241	0	0	0	0	0	0	0	0	0.16258	0	0.06037	0.00097	0	0	0	0.60653	0.02056	5.08338	0	0	0	0	0	0	0.01234	0.20303	0	0.26235	0	0	0.36816	0	0.16394	0.15227	0.00277	0	0	0.20778	0.01857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01189	0.02479	0	0	0	0.03569	0	0	0	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	0.13509	0	2.54961	0.22901	0.10772	0.82229	0	1.5034
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20	0	0	0	0	0	0	0	0	0.08716	0	0	0	0	0	0	0	0.25175	0.43534	0	0	0	0	0	0	0	0.4669	0	0.97601	0	0	0.01824	0	0	0	0	0	0	0.30037	0	0.00517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09974	0.0796	0	0	0.51397	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis	0	0	0	0	0	0	0	0	0.05073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	0	0	0	0	0	0	0	0	0.01832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis	0	0	0	0	0	0	0	0	0.014	0	0	0.00402	0.01464	0	0	0.00368	0	0	0	0	0	0	0	0	0.00816	0	0	0	0	0	0	0	0.10198	0.13823	0	0	0.01066	0	0	0.00319	0	0	0	0.05357	0	0	0	0.00693	0	0	0	0	0	0	0	0.02727	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_170	0	0	0	0	0	0	0	0	0.00366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02933	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167	0	0	0	0	0	0	0	0	0	0.21773	0	0	0	0	0	0	0.03935	0	0	0	0	0	0	0	0	0.4882	0	0	0	0	0.03243	0	0.13108	0	0	0	0.01185	0	0.04098	0.03167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00289	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0.09299	0.07762	0	0	0	0.09905	0	0	0	0	0	0	0	0	0	0	0	0	0.21038	0	0	0	0	0	0	0	0	0	0.02041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13357	0	0	0	0	0	0.3227	0	0.02329	0.00116	2.62689	0	0	0	0	0	0	8.50128	1.96943	0.00356	0.00622	9.13513	0.18663	0.38888	0.26544	6.73208	0	0	0	0	0	0	0	0	0	0
