	SID5411-1	SID5411-2	SID5411-3	SID5411-4	SID5412-1	SID5412-2	SID5412-3	SID5412-4	SID5413-1	SID5413-2	SID5413-3	SID5413-4	SID5414-1	SID5414-2	SID5414-3	SID5414-4	SID5415-1	SID5415-2	SID5415-3	SID5415-4	SID5416-1	SID5416-2	SID5417-1	SID5417-2	SID5417-3	SID5417-4	SID5418-1	SID5419-1	SID5420-1	SID5420-2	SID5420-3	SID5421-1	SID5421-2	SID5421-3	SID5421-4	SID5423-1	SID5423-2	SID5423-3	SID5423-4	SID5425-1	SID5425-2	SID5425-3	SID5425-4	SID5426-1	SID5427-1	SID5427-2	SID5427-3	SID5427-4	SID5428-1	SID5428-2	SID5428-3	SID5428-4	SID5429-1	SID5429-2	SID5429-3	SID5429-4	SID5433-1	SID5433-2	SID5433-3	SID5433-4	SID5434-1	SID5434-2	SID5434-3	SID5434-4	SID5435-1	SID5435-2	SID5435-3	SID5435-4	SID5438-1	SID5438-2	SID5438-3	SID5438-4	SID5439-1	SID5439-2	SID5439-3	SID5439-4	SID5440-1	SID5440-2	SID5440-3	SID5440-4	SID5441-1	SID5441-2	SID5441-3	SID5441-4	SID5442-1	SID5442-2	SID5442-3	SID5442-4	SID5443-1	SID5443-2	SID5443-3	SID5443-4	SID5444-1	SID5444-2	SID5444-3	SID5444-4	SID5445-1	SID5445-2	SID5445-3	SID5445-4	SID5446-1	SID5446-2	SID5446-3	SID5446-4	SID5448-1	SID5448-2	SID5448-3	SID5448-4	SID5449-1	SID5449-2	SID5449-3	SID5449-4	SID5450-1	SID5450-2	SID5450-3	SID5450-4	SID5451-1	SID5451-2	SID5451-3	SID5451-4	SID5452-1	SID5453-1	SID5453-2	SID5453-3	SID5453-4	SID5454-1	SID5454-2	SID5454-3	SID5454-4	SID5455-1	SID5455-2	SID5455-3	SID5455-4	SID5457-1	SID5457-2	SID5457-3	SID5457-4	SID5458-1	SID5458-2	SID5458-3	SID5458-4	SID5459-1	SID5460-1	SID5460-2	SID5460-3	SID5460-4	SID5461-1	SID5461-2	SID5461-3	SID5461-4	SID5462-1	SID5462-2	SID5462-3	SID5462-4	SID5463-1	SID5463-2	SID5463-3	SID5463-4	SID5465-1	SID5466-1	SID5466-2	SID5466-3	SID5466-4	SID5467-1	SID5467-2	SID5467-3	SID5467-4	SID5468-1	SID5468-2	SID5468-3	SID5468-4	SID5469-1	SID5469-2	SID5469-3	SID5469-4	SID5470-3	SID5470-4	SID5473-1	SID5473-2	SID5473-3	SID5473-4	SID5474-3	SID5474-4	SID5476-1	SID5476-2	SID5476-3	SID5476-4	SID5477-1	SID5477-2	SID5477-3	SID5477-4	SID5478-1	SID5478-2	SID5478-3	SID5478-4	SID5479-1	SID5479-2	SID5479-3	SID5479-4	SID5480-1	SID5480-2	SID5480-3	SID5480-4	SID5481-1	SID5481-2	SID5481-3	SID5481-4
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.30448	0.12304	0.05583	0.07014	0	0	0	0	0	0	0	0	0.17549	0.22872	0.24822	0.29547	0.01434	0.02499	0.08987	0.00143	0.10727	0.08957	0.62833	0.30361	0.11009	0.05324	4.80434	0.00156	0.52414	0.00124	0	0.01807	0.03558	0.22495	0.01267	0	0	0	0	0	0.00119	0.01404	0.01309	0.00088	1.44683	1.36965	1.10774	0.56832	0	0	0	0	0.27972	0.54773	0.16687	0.30951	0.17599	0.01694	0.00637	0.16076	0.14388	0.07643	0.16539	0.07448	0.04612	0	0.07496	0.0102	0.0579	0.08203	0.01966	0.04061	0	0	0	0	0	0.01793	0.22991	0.14666	0.01235	0.07896	0.03111	0.08443	0.25835	0.26148	0.29607	0.27919	0.16147	0.02298	0.20071	0.04237	0.25656	0.09881	0.26982	0.34046	0.02276	0.08275	0.33716	0.10266	0.01266	0.04247	0.01147	1.47113	0	0	0	0	0.38443	0.04365	0.27465	0.45524	0.3787	0.18339	3.86941	0.18254	0.26234	0.06659	0.06656	0.05363	0.20882	2.37202	0.72163	0.56642	1.38929	0	0	0	0	0.0758	0.10242	0.086	0.16549	0.36134	1.71586	2.06625	2.35861	0.15447	1.27597	0.20747	0.16532	0.11014	1.72779	1.84701	3.67345	1.57486	0.26181	0.18697	0.23871	0.06467	0.20519	0.29445	0.24809	0.08618	0.03092	0.26457	0.04475	0.15031	0.0321	0	0	0	0	0	0	0	0	0.02816	0.03614	0.01099	0.02811	0.24196	1.37265	0.44051	0.78361	0.10288	0.11602	0.04448	0.06086	0.06776	0.03125	0	0.00937	0.0034	0.02397	0.01523	0.00995	0.59429	0.46969	0.39686	0.63009	0.68645	0.41134	0.28069	0.15548	4e-04	0.0018	0	0.63112	3.59334	5.12505	2.27808	0.28858	0.03251	0.02415	0.02426	0.05191
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	0.28522	0.04254	0.11433	0.11111	0.00141	0	0	0.00646	0.71317	1.26222	2.15931	0.99626	3.38342	1.26392	1.63449	0.17159	0.21442	0.19353	0.1147	0.18264	0	0	0.11917	0.62026	0.13137	0.26445	1.11635	1.1089	0.04957	0	0	0.17113	0.45502	0.45148	0.24537	0.24967	0.4019	0.21837	0.21041	0.00747	0.02522	0.02205	0	1.18303	0.47919	0.29109	0.30893	0.21698	0.32324	0.03608	0.22351	0.50124	0.01618	0.00114	0.01343	0.01051	0.07473	0.035	0.01495	0.06586	0.02725	0.01459	0.00234	0.01685	0.02295	0	0.01684	0.01769	0.27246	1.15689	0.32121	0.69517	0	0.0093	0.00927	0.01112	0	0	0.06813	0.11097	0.24555	0.17848	0.00551	0.52225	0.00537	0.01497	0.016	0.02064	0.00808	0.02512	0.0423	0.07008	0	0.30407	0.40211	0.58113	0.1202	0.5113	1.23406	1.06192	0	0.00106	0.00788	0.00609	0.03456	0.06882	0	0	0	0.01165	0	0.01863	0	0	0	0	0.73497	1.10786	0.23709	0.40454	0	0	0	0	0	2.4054	2.335	2.60468	2.24363	0.09335	0.19826	0.12358	0.04892	0.27235	0.66393	1.32017	2.43934	0.01409	0.00492	0.00087	0.16936	0.00776	1.56124	0.59652	1.00691	1.57025	0.00511	0	0.00567	0.03644	0.76744	0.76879	0.67145	0.18018	0.05141	0.07094	0.11027	0.08376	0	0.11716	0.38184	0.70485	0.68242	0	0	0	0	0	0	0	0	0	0	0	0	0.03626	0.06779	0.80978	0.32926	0.62483	1.17918	0.00641	0.00174	0.01321	0.01777	0.00215	0.017	0.16634	0.25622	0.07204	0.1138	0.10831	0.06465	0.05954	0.06318	0.00764	0.00514	0.00628	0.11034	0	0	0.00165	0.00481	0.04756	0.10493	0.07337	0.15737
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167	0.27481	1.13251	0.71114	0.70768	0	0	0	0	0.29596	0.00149	0.00391	0.40544	5.84341	0.18914	1.83433	0.14275	0.57084	1.85835	0.18951	1.36435	0.21441	0.18089	0	0	0	0	0	0.17059	0	0.04631	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17384	0	0	0	0	0.37092	0.14119	1.59061	1.28201	0.15067	0.65653	0.14438	0.51464	0	0	0	0	0.09632	0.03546	5e-04	1.41896	0	0	0	0	0.00599	0.01173	0.00747	0.10964	0	0	0	0	0	0	0	0	0	0	0	0	0.49591	0.17788	0.46579	0.31115	0.07261	0.01125	0.08456	0.05802	0	0	0	0	0	0	0.15319	0.40512	0.64707	0.03344	0	0.03928	0.19198	0	0	0	0	0	0	0	0	0	0	0	0.14255	0.07602	0.18134	0.02389	0	2.96357	0.53263	1.4888	0.32322	0.41306	0.67823	0	0	0.99228	1.9633	0.4478	0.94254	0	0	0	0	0.00313	0	0	0.15152	0	0	0	0	0	0	0	0	0	0.81631	0.28156	0.28793	0.61424	0.06497	0.07468	0.19934	0.31864	0	0.59319	0.56387	0.4693	1.25656	0.19902	0.03355	0	0	0	0	0	0	0	0	0	0	0.05329	0.05889	0.18238	0.44999	0.68647	0.43936	0.07035	0.0684	0	0	0	0	0.104	0.73181	1.23748	0.34345	0	0	0	0	0.31381	0.02972	0.00688	0.34364	0	0	0	0	0.17767	0.11785	0.01766	0.08214
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	0.22764	0.06423	0.21589	0.27734	0	0	0	0	0.47444	0.1127	0.10291	0.09585	0	0	0	0	0.75468	1.25778	1.1978	0.74606	5.13542	3.13029	0	0	0	0	0.18886	0.02668	0.03457	0.00464	0.12714	0	0	0	0	0	0	0	0	0	0	0	0	0.03274	1.95196	4.66336	3.75483	8.07101	0.08541	0.24557	0.21814	0.04987	0.01314	0.01625	0.0442	0.00516	0	0	0	0	0	0	0	0	0	0	2.86711	1.16352	0	0	0	0.00028	0.09014	0.16808	0.19202	0.12741	0	0.25501	0.25147	0.09942	1.65391	3.2092	1.07312	1.44399	0.04393	0	0.00101	0.03959	0.02155	0.01637	0.00487	0.00968	0.22375	0	0	0	0.2872	0.08613	0.40405	0.48771	0	0	0	0.09671	0	0	0	0	0	0	0	0	0	0	0	0	0.0977	0.06989	0.17247	0.3225	0	0	0	0	0	0	0	0	0	0.51427	0.10428	0.27136	0.6223	0	0	0	0	0.06657	0.25428	0.31164	0	1.33507	0	0	0	0	0.24252	0.52687	0.64804	0.16329	0	0	0	0	0.06227	0.149	0.52764	0.16436	0	1.26075	0.38686	0.79215	0.68989	0	0	0	0	0.13741	0.20045	0.19844	0.09966	0.7618	0.6836	0.78739	2.45923	0.77445	0.40557	0	0	0	0	0.18854	0.20853	0.20091	0.14576	0.15676	0.15662	0.11925	0.07	0.10917	0.18393	0	0	0	0	0.73375	0.56862	0.2903	0.17409	0	0	0	0	0.05581	0.07413	0.03995	0.21606
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.20132	0.15554	0.2233	0.22188	0	0	0	0	0.64737	0.44461	0.44668	0.8609	0.18298	0.35109	0.30012	0.39643	0.17579	0.22543	0.36214	0.40683	0.19138	0.36285	0	0	0	0	0.58936	0.30411	0.10286	2.00749	0.76085	0.21226	0.18956	0.19856	0.18938	0.28366	0.51915	0.44595	0.67912	0.13845	0.07801	0.09123	0.12838	0.28511	0.1293	0.17692	0.2049	0.41022	0.41806	0.41791	0.58767	0.39044	0.06272	0.38174	0.13471	0.32251	0.0095	0.00358	0.00971	0.01465	0.25139	0.40234	0.24939	0.1524	0.05963	0.02665	0.06958	0.15668	0.25943	0.06155	0.58786	0.17676	0.34374	0.10672	0.09275	0.0909	0	0.49557	0.41797	0.33826	0.17589	0.13652	0.18807	0.10935	0.24539	0.42499	0.4966	0.28211	0.29012	0.47972	0.19067	0.65982	0.50619	0.94501	0.23655	0.61621	0.35307	0.24142	0.43397	0.24231	0.69785	0.53088	0.62325	0.91878	0.18564	0.00923	0	0	0.00917	0.01573	0.00958	0.00478	0	0	0	0	0.59573	0.45969	1.07364	1.07203	0	0.30843	0.87148	0.71274	0.17682	0.00633	0.02388	0.01277	0.03017	0.35669	0.28585	0.37962	0.7576	0.316	0.17687	0.38061	0.14576	0.49585	1.02439	0.93316	0.18415	0.72715	0.26076	0.31607	0.17237	0.13715	0.3461	0.38485	0.34777	0.59931	0.31086	0.28418	0.35749	0.29925	0.06531	0.13804	0.18559	0.07022	0	0.23284	0.22302	0.3468	0.69868	0	0	0	0	0.19983	0.13882	0.20032	0.12314	0.4406	0.3255	0.78787	0.48233	0.19364	0.14589	0.61662	0.43614	0.34557	0.46725	0.2008	0.17203	0.0043	0.00203	0.005	0.0074	0.33102	0.39491	0.41514	0.15653	0.13939	0.06707	0.13232	0.16022	0.11975	0.10765	0.13452	0.16015	0	0	0	0	0.30471	0.32285	0.08457	0.1637
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0.18295	0.25773	1.3354	1.3402	0	0	0	0	0	0	0.00173	0	0	0	0	0	0.79159	1.19145	1.7329	0.06345	0	0	6.65195	1.52941	2.48917	0.57051	0	0.01855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.82121	2.14119	3.72921	1.61901	0	0	0	0	0.03048	0.03921	0.03602	0.06215	0	0	0	0	0.09084	0.02552	0.08525	1.79082	0	0	0	0	0	0.00094	0	0	1.84291	2.10168	2.31343	1.68301	0	0	0	0	0	0	0	0.00173	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0557	0.02534	0.28	0	0	0	0	0	3.71428	0.36579	10.70258	2.33233	0	0	0	0	0	0	0	0	0.04554	0.02481	0.00591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17153	2.47346	1.85196	1.36912	0	0	0	0	0	0	0	0	0	0	0	0	0.15677	0.32668	0	0	0	0	0.03864	0.05377	0	0	0	0	0	0	0	0.07233	0	0	0	0	0.09564	0.09141	0.09812	0.07794	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis	0.15036	0.38661	0.25956	0.25502	0.29762	0.07195	0.36436	0.37896	0.10834	0.07379	0.03039	0.02385	3.53446	1.40851	1.87126	3.69151	0.76634	0.66406	0.81242	1.04574	0.21169	0.18152	0.05448	0.57545	0.11813	0.00672	0	0.25327	1.65381	1.05691	1.32999	0.92557	1.34319	0.47045	0.16179	0.05494	0.10054	0.28526	0.17578	0.15576	0.36716	0.40559	0.18717	0.24262	2.14978	1.16063	1.18491	4.13919	0.08613	0.07154	0.35535	0.08494	0.12198	0.27061	0.21537	0.16508	0	0.00225	0	0	0.16477	0.54236	0.59979	0.23102	0.04896	0.20643	0.09901	0.31694	0.46777	0.25846	0.16511	0.2143	0.04805	0.03084	0.01982	0.02912	0.13974	0.30289	0.46668	0.28209	0.36275	0.39675	0.41337	0.20762	0.31009	0.37357	0.34988	0.24629	0.22951	0.05728	0.10437	0.04175	0.1087	1.18909	0.38245	0.16175	0.18773	1.57359	0.72615	1.19807	0	0	0	0.29269	0.14775	0.25083	0.3845	1.16097	1.29216	2.37142	0.46294	1.85738	0.50394	0.48572	0.48601	0.46292	0.4142	0.35976	0.22435	0.33372	0	0.42448	1.13175	0.38846	0.80518	0.00509	0.00183	0.00434	0.00402	0.19049	0.07641	0.09602	0.09164	1.29292	1.09336	0.52446	0.82651	0.5353	0.38722	0.12946	0	0.66968	1.18222	1.90789	0.58479	1.66984	0.17593	0.10602	0.37045	0.5373	0.51841	0.1332	0.28652	0.27689	0.03707	0.06355	0.143	0.18751	1.14119	0.26456	0.41179	0.18814	0.49073	0	0	0	0	0.19705	0.23699	0.11642	0.13264	0.35903	0.24532	0.54357	0.1739	0.14024	0.17485	0.63873	0.4749	0.19146	0.18139	0.51412	0.48999	0.27807	0.20673	0.30136	0.24105	0.13994	0.11044	0.09252	0.29395	0.37764	0.10145	0.29084	0.22078	0.17032	0.13407	0.1396	0.24808	0	0	0	0	0.31957	0.27341	0.11057	0.32697
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	0.14951	0.01023	0.11372	0.12035	15.30646	25.247	15.92896	9.38398	0.07532	0.13885	0.01282	0.01546	1.17521	2.52805	0.21608	3.44305	0.02847	0.04456	0.03961	0.04051	0.36685	0.0936	0.68191	1.96897	1.55851	5.2352	0.96087	0.20425	0.39799	2.33871	1.24192	0.05839	0.06498	0.04193	0.11522	0.0568	0.08583	0.11158	0.06231	0.06273	0.03104	0.23653	0.39399	0.20358	0.08963	0.14105	0.05084	0.41257	0.11073	0.07125	0.06148	0.10546	0.19366	0.13506	0.16164	0.16013	1.1781	0.38668	0.40181	0.17646	0.15282	0.5389	0.45042	0.09176	0.19812	0.28172	0.29574	0.137	0.3464	0.09748	0.24592	0.17971	0.08049	0.01298	0.03264	0.01397	2.68085	0.28537	0.14427	0.07531	0.06787	0.18108	0.27513	0.14533	0.36589	0.05983	0.21796	0.30943	0.08826	0.36483	0.09987	0.38114	0.14595	0.72849	0.12088	0.24574	0.3357	0.05065	0.41113	0.16831	0.62854	0.25587	0.19105	0.09289	0.19027	0.05032	0.36948	0.12933	0.07809	0.04967	0.03777	0.02228	0.37921	0.28874	0.65436	0.15396	0.04599	0.16387	0.18507	0.23718	0	0.20851	0.37372	0.21727	0.15336	3.93855	1.82976	0.74542	1.94534	0.26307	0.23745	0.27648	0.21911	0.47318	0.1101	0.3979	0.03305	0.0512	0.10709	0.06201	0.04795	0.12682	0.22313	0.14797	0.22203	0.03984	0.29477	0.57713	0.42362	0.11418	0.0647	0.01444	0.02976	0.00858	0.17929	0.0033	0.03191	0.02767	0.42223	0.20046	0.0123	0.02669	0.06342	3.55754	3.12901	0	2.54937	0.06372	0.04073	0.01345	0.0047	0.27966	0.12262	0.22892	0.25796	0.02493	0.03326	0.14057	0.07439	0.20098	0.06114	0.01099	0.02187	0.03552	0.34946	0.29238	0.11901	0.05037	0.11486	0.11587	0.07989	0.21437	0.03946	0.0993	0.06436	0.01101	0.00862	0.01732	0.06803	8.13876	6.28866	11.76304	8.58079	0.36945	0.20717	0.01337	0.00543
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.13475	0.28179	0.26666	0.26724	0	0	0	0	0.18765	0.21613	0.15863	0.22185	0.72194	1.01488	0.46452	0.84698	0.34364	0.44667	0.41758	0.30583	0.44691	0.29134	0.26585	1.04558	1.63695	0	0.25785	0.31275	1.42167	2.29262	2.89263	0.03393	0.05218	0.27853	0.04336	0.07383	0.0762	0.29221	0.12741	0.03695	0.10448	0.15715	0.11068	0.29109	0.14312	0.4039	0.29633	1.33058	0.11125	0.12069	0.08675	0.0877	0.43364	0.18626	0.30419	0.35026	1.74536	1.13097	0.43884	0.29768	0.08125	0.31426	0.29858	0.13296	0.10744	0.29582	0.37379	0.5769	0.3791	0.39184	0.43342	0.19101	0.29375	0.16678	0.27313	0.2783	0.27972	0.30375	0.37436	0.24263	0.27516	0.23491	0.18999	0.20771	0.37941	0.16201	0.14368	0.36623	0.32307	0.13766	0.19206	0.28611	0.58446	0.92056	0.29917	0.48929	1.87153	0.88319	0.77706	1.01137	1.116	0.54943	0.43312	0.38957	0.25751	0.0172	0.4116	0.76792	0.22193	0.40442	0.56838	0.23506	0.15999	0.4642	0.24672	0.16979	0.15644	0.09466	0.26703	0.40179	0.30179	0.23442	0.42124	0.18427	0.14783	0.41956	0.66632	0.69666	1.18808	0.34391	0.18328	0.35926	0.49051	0.31819	0.24283	0.43881	0.30887	0.40077	1.11494	1.10705	0.32809	0.2469	0.22922	0.28782	0.17765	0.22652	0.54218	0.86926	0.59153	0.36741	0.21793	0.20533	0.18145	0.25225	1.15295	0.1572	0.09207	0.08675	0.17994	0.18309	0.06742	0.05243	0.12619	0.82729	0.46691	0	0.5323	0.05272	0.09272	0.05069	0.06475	0.20235	0.26076	0.11633	0.43127	0.17724	0.25514	1.2622	0.29102	0.41168	0.87464	0.46567	0.70215	0.41629	0.8737	0.3026	0.25469	0.26959	0.16131	0.15386	0.2004	0.06824	0.05755	0.19254	0.14912	0.14311	0.21142	0.06604	0.20576	0	0	0	0.00754	0.12421	0.21984	0.02979	0.24814
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus	0.1337	0.09115	0.09357	0.0957	0.0049	0.10279	0.82085	0.25238	0.04502	0.28993	0.25687	0.08595	0.18997	0.18295	0.22213	0.0643	0.04274	0.06076	0.08577	0.09924	0.10138	0.05222	0.01432	0.14033	0.03948	0.01175	0.00417	0.18297	0.03547	0.01019	0	0.14944	0.21244	0.12544	0.29018	0.03593	0.08799	0.02537	0.05017	0	0	0	0.00185	0.18451	0.39472	0.1652	0.12772	1.10782	0.04268	0.11334	0.11569	0.26835	0.07796	0.004	0.14276	0.0945	0.10846	0.01217	0.44766	0.19138	0.08088	0.04443	0.00033	0.04619	0.08693	0.05992	0.13279	0.11112	0.16303	0.21091	0.18225	0.23297	0.03452	0.21699	0.19311	0.08971	0	0.05674	0.2515	0.17423	0	0	0	0	0.16813	0.19116	0.0642	0.17099	0.03397	0.00756	0.0599	0	0.04778	0	0	0	0	0.00883	0.14743	0.01873	0	0.1202	0.04263	0.14818	0.35162	0.49482	0.21759	0.05564	0.1973	0.14462	0.13303	0.1033	0.55664	0.51002	0.51428	0.14594	0.04203	0.07835	0.10719	0.11698	0.06732	0.2483	0.22638	0.23544	0.28505	0.3331	0.37498	0.27961	0.22159	0.1418	0.10509	0.23737	0.29139	0.14639	0.20198	0.12631	0.10425	0.11279	0.24877	0.06074	0.36288	0.0481	0.12252	0.33665	0.11757	0.19819	0.06395	0.2674	0.02076	0.0027	0.02209	0.04871	0.09851	0.05736	0.15226	0.30445	0.2191	0.35648	0.00406	0.00672	0.01645	0.00814	0.02829	0.23449	0.1137	0	0.20529	0	0	0	0	0.28136	0.03836	0.11749	0.00521	0.03015	0.0282	0.03137	0.06538	0.03195	0.02309	0.01263	0.03024	0.15402	0.04566	0.00553	0.07772	0.17664	0.07558	0.07939	0.13169	0.14569	0.09616	0.06501	0.1959	0.01896	0.06106	0.02907	0.14129	0.15915	0.01901	0.02729	0.00661	0.05136	0.05435	0.04852	0.01669
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	0.13343	0.25996	0.26452	0.25364	0.19362	0.59309	1.58432	1.32148	0.21248	0.32992	0.52921	0.5444	0.4162	0.36988	0.25678	0.58125	0.04121	0.04285	0.1765	0.23371	0.63901	2.80324	0.0133	0.05893	0.02032	1.08684	0.38513	0.19161	0.06598	0.90646	0.58879	0.17874	0.17511	0.03156	0.02318	0.02058	0.05986	0.02565	0.05699	0.01136	0.02428	0.02928	0.00873	0.16331	0.02974	0.05389	0.10791	0.70278	0.07075	3.31788	1.53605	1.5734	0.40538	1.43758	0.88118	0.6821	0.28032	1.06311	0.27755	0.38861	0.01387	0.01609	0.00197	0.02386	0.10033	0.38732	0.60735	1.56072	0.06047	0.06827	0.12686	0.04499	0.00415	0.00442	0.00099	0.0046	0	0.05931	0.12891	0.04826	0.04856	0.0247	0.00789	0.00028	0.12393	0.17704	0.08344	0.0817	0.04657	0.03309	0.06969	0.02204	0.33758	1.68475	0.25628	0.11035	0.88444	0.04893	0.19587	0.08161	0.05201	0.06383	0.00997	0.03632	0.03026	0.12152	0.15278	0.0907	0.12097	0.17756	0.05078	0.06364	0.17526	0.45281	0.29833	0.43701	0.4427	0.316	0.10203	0.13645	0.03197	0.06779	3.90063	1.09045	1.51982	0.19104	0.23592	0.25929	0.26299	0.02652	0.01691	0.10602	0.20495	0.10585	0.39219	0.39715	0.12704	0.0681	0.09115	0.91532	0.14735	0.12602	0.32726	0.17081	0.18731	0.07821	0.12496	0.16224	0.06013	0.03174	0.24617	0.04445	0.80587	1.40475	0.2683	0.97309	0.02431	0.21532	0.32258	0.04436	0.34178	0.01571	0.16694	0.69902	0.18749	0	0.17857	0.02074	0.04668	0.00566	0	0.08269	8.11095	0.0381	2.71776	0.01983	0.2336	0.07076	0.03178	0.26722	0.05749	0.00277	0.0114	1.13468	0.18445	0.38063	1.22305	0.08797	0.33357	0.02976	0.07007	0.09663	0.13236	0.10464	0.08552	0.06306	0.24699	0.01249	0.06455	0.54277	8.72287	1.47514	1.41357	0.02643	0.02705	0	0.00629
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.11471	1.47457	0.37209	0.34871	0	0	0	0	0.36981	0.06132	0.03557	0.16778	1.06442	0.68958	0.53042	0.61947	0.31573	0.36262	0.21145	0.82368	0.18618	0.17745	0	0	0	0	0	0.10354	0.24763	1.89775	0.44751	9.62081	0.78498	2.24904	5.21639	1.43508	1.28098	1.73892	0.30347	0.23453	0.16818	0.0442	0.10003	0.09068	0.09681	0.07537	0.13341	0.19885	1.25231	0.49957	0.47756	0.85792	2.73433	0.24036	1.58687	0.4718	0.07807	1.17978	1.11766	0.68461	0.018	0.05044	0	0.09612	2.09707	0.16044	0.41524	0.8385	0.67432	0.50776	1.11108	1.38302	0.00522	0.06447	0.01684	0.06485	0.03279	0.28198	0.11694	0.26161	1.88146	1.35063	2.42649	1.57459	0.40943	0.54526	1.56281	0.28522	1.05034	0.66768	0.39344	0.50786	2.57327	0.67412	0.3992	0.21729	0	0.01351	0.00155	0.00413	0.751	1.66233	0.01881	0.19939	0.01669	0.00322	0	0	0.29374	0.30669	1.19079	0.77369	0	0	0	0	0.255	0.18659	0.8471	0.11906	1.29552	0.25584	0.36247	0.37882	0.11066	1.09682	0.20011	0.4012	0.07297	0.9521	1.34226	0.57808	0.37319	1.08268	0.23026	1.0152	0.12916	0.07766	0.01174	0.01744	3.16565	0.43562	1.76231	2.16566	0.16925	0.17583	0.15929	0.22905	0.11381	0.96824	1.16207	0.18285	0.12914	0.31081	0.09286	0.00523	0	0	0.54845	0.35323	0.14838	0.50726	0.23304	0.10915	0.02689	0	0.0915	0.92659	0.37772	0.91939	3.8709	0.14121	0.12461	0.497	0.04472	0.83929	0.46993	4.01434	2.87081	1.92021	1.4619	0.30665	0.11835	0.96622	0.25272	0.10171	0.27792	0.16068	0.35258	0.41096	0.32535	0.22891	0.53997	0.53843	0.11186	0.37755	0.20102	0.10939	0.33722	0.0395	0.26216	0.00891	3.15848	1.83545	0.74734	0.18779	0.18572
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	0.10941	0.45975	0.16675	0.18156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15681	0.41523	0.19616	2.21961	1.13622	2.53487	0	0	0.09403	1.25833	0.20606	0	0	0	0	0.12175	0.25726	0.09277	0.20497	0	0	0	0	0	4e-04	0.01014	0.00958	0.44484	0.74712	0.55125	0.28329	0.28373	0	0	0	0	2.95423	0.41276	1.96332	1.21908	0	0	0	0	0.08833	0.05635	0.17492	0.22772	0	0	0	0	0.03609	0.28066	0.06016	0.10656	0	0.03699	0.24768	0.10714	0	0	0	0	0	0	0	0	0.03811	0	0.00172	0	1.13463	0	0	0	0.03006	0.1295	0.4925	0.25295	0	0	0	0.05052	0.50725	0.69656	0.30987	0.40989	0.23169	0.23701	0.19965	0.22087	0.21263	0.81453	0.28152	0.77084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34937	0.40329	1.04952	0.70307	0.00572	0.06343	0.02782	0	0	0.14104	0.66051	0.35191	0.06058	0.15491	0.15811	0.12624	0.07294	0	0	0	0	0.12108	0	0	0	0.2412	0	0	0	0	0.08265	0.13618	0	0.09591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01224	0	0	0	0	0.09314	0.08245	0.00974	0.01104	0	0	0.18897	0.63715	0	0	0	0
